respondent_id,question_text,item,answer,other_text
29,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
30,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
31,Welcher Art von Organisation gehören Sie an?,,Forschungsinstitution,
32,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
33,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
34,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
35,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
36,Welcher Art von Organisation gehören Sie an?,,Sonstiges,Sonstiges: Sondermaschinenbau + Service
37,Welcher Art von Organisation gehören Sie an?,,Branchenverband,
38,Welcher Art von Organisation gehören Sie an?,,Sonstiges,Sonstiges: Sensortechnik-Unternehmen
39,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
40,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
41,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
42,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
43,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
44,Welcher Art von Organisation gehören Sie an?,,Forschungsinstitution,
45,Welcher Art von Organisation gehören Sie an?,,Unternehmensberatung,
46,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
47,Welcher Art von Organisation gehören Sie an?,,IT - /Entwicklungsdienstleister,
48,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
49,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
50,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
51,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
52,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
53,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
54,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
55,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
56,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
57,Welcher Art von Organisation gehören Sie an?,,Forschungsinstitution,
58,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
59,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
60,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
61,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
62,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
63,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
64,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
65,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
66,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
67,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
68,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
69,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
70,Welcher Art von Organisation gehören Sie an?,,Unternehmensberatung,
71,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
72,Welcher Art von Organisation gehören Sie an?,,Sonstiges,Sonstiges: Innovationscluster
73,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
74,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
75,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
76,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
77,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
78,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
79,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
80,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
81,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
82,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
83,Welcher Art von Organisation gehören Sie an?,,Unternehmensberatung,
84,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
85,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
86,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
87,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
88,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
89,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
90,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
91,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
92,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
93,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
94,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
95,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
96,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
97,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
98,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
99,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
100,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
101,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
102,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
103,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen,
1,Wie viele Beschäftigte hat Ihr Unternehmen?,,10 - 49,
2,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
3,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
4,Wie viele Beschäftigte hat Ihr Unternehmen?,,10 - 49,
5,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
6,Wie viele Beschäftigte hat Ihr Unternehmen?,,10 - 49,
7,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
8,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
9,Wie viele Beschäftigte hat Ihr Unternehmen?,,50 - 250,
10,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
11,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
12,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
13,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
14,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
15,Wie viele Beschäftigte hat Ihr Unternehmen?,,50 - 250,
16,Wie viele Beschäftigte hat Ihr Unternehmen?,,50 - 250,
17,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
18,Wie viele Beschäftigte hat Ihr Unternehmen?,,50 - 250,
19,Wie viele Beschäftigte hat Ihr Unternehmen?,,50 - 250,
20,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
21,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
22,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
23,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
24,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
25,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
26,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
27,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
28,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
29,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
30,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
31,Wie viele Beschäftigte hat Ihr Unternehmen?,,50 - 250,
32,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
33,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
34,Wie viele Beschäftigte hat Ihr Unternehmen?,,50 - 250,
35,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
36,Wie viele Beschäftigte hat Ihr Unternehmen?,,50 - 250,
37,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
38,Wie viele Beschäftigte hat Ihr Unternehmen?,,< 10,
39,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
40,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
41,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
42,Wie viele Beschäftigte hat Ihr Unternehmen?,,50 - 250,
43,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
44,Wie viele Beschäftigte hat Ihr Unternehmen?,,50 - 250,
45,Wie viele Beschäftigte hat Ihr Unternehmen?,,< 10,
46,Wie viele Beschäftigte hat Ihr Unternehmen?,,50 - 250,
47,Wie viele Beschäftigte hat Ihr Unternehmen?,,< 10,
48,Wie viele Beschäftigte hat Ihr Unternehmen?,,10 - 49,
49,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
50,Wie viele Beschäftigte hat Ihr Unternehmen?,,50 - 250,
51,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
52,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
53,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
54,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
55,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
56,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
57,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
58,Wie viele Beschäftigte hat Ihr Unternehmen?,,10 - 49,
59,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
60,Wie viele Beschäftigte hat Ihr Unternehmen?,,10 - 49,
61,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
62,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
63,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
64,Wie viele Beschäftigte hat Ihr Unternehmen?,,50 - 250,
65,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
66,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
67,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
68,Wie viele Beschäftigte hat Ihr Unternehmen?,,50 - 250,
69,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
70,Wie viele Beschäftigte hat Ihr Unternehmen?,,50 - 250,
71,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
72,Wie viele Beschäftigte hat Ihr Unternehmen?,,< 10,
73,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
74,Wie viele Beschäftigte hat Ihr Unternehmen?,,10 - 49,
75,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
76,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
77,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
78,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
79,Wie viele Beschäftigte hat Ihr Unternehmen?,,50 - 250,
80,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
81,Wie viele Beschäftigte hat Ihr Unternehmen?,,10 - 49,
82,Wie viele Beschäftigte hat Ihr Unternehmen?,,50 - 250,
83,Wie viele Beschäftigte hat Ihr Unternehmen?,,< 10,
84,Wie viele Beschäftigte hat Ihr Unternehmen?,,50 - 250,
85,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
86,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
87,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
88,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
89,Wie viele Beschäftigte hat Ihr Unternehmen?,,50 - 250,
90,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
91,Wie viele Beschäftigte hat Ihr Unternehmen?,,50 - 250,
92,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
93,Wie viele Beschäftigte hat Ihr Unternehmen?,,50 - 250,
94,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
95,Wie viele Beschäftigte hat Ihr Unternehmen?,,50 - 250,
96,Wie viele Beschäftigte hat Ihr Unternehmen?,,50 - 250,
97,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
98,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
99,Wie viele Beschäftigte hat Ihr Unternehmen?,,50 - 250,
100,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
101,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
102,Wie viele Beschäftigte hat Ihr Unternehmen?,,50 - 250,
103,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250,
1,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR,
2,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,50 - 250 Mio. EUR,
3,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
4,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,< 5 Mio. EUR,
5,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
6,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,< 5 Mio. EUR,
7,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
8,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,50 - 250 Mio. EUR,
9,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR,
10,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
11,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
12,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,50 - 250 Mio. EUR,
13,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
14,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
15,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR,
16,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR,
17,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
18,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,50 - 250 Mio. EUR,
19,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR,
20,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR,
21,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
22,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
23,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
24,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
25,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
26,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
27,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
28,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
29,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
30,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,50 - 250 Mio. EUR,
31,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR,
32,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
33,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
34,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR,
35,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
36,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR,
37,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR,
38,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,< 5 Mio. EUR,
39,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
40,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
41,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
42,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,50 - 250 Mio. EUR,
43,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
44,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR,
45,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,< 5 Mio. EUR,
46,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR,
47,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,< 5 Mio. EUR,
48,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,< 5 Mio. EUR,
49,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,50 - 250 Mio. EUR,
50,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR,
51,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
52,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,50 - 250 Mio. EUR,
53,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,50 - 250 Mio. EUR,
54,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
55,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
56,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
57,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR,
58,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,< 5 Mio. EUR,
59,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
60,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR,
61,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
62,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,50 - 250 Mio. EUR,
63,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR,
64,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR,
65,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
66,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
67,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
68,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,50 - 250 Mio. EUR,
69,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
70,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR,
71,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
72,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,< 5 Mio. EUR,
73,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,50 - 250 Mio. EUR,
74,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,< 5 Mio. EUR,
75,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
76,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
77,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
78,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
79,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR,
80,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
81,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR,
82,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR,
83,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,< 5 Mio. EUR,
84,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR,
85,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
86,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR,
87,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
88,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
89,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR,
90,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
91,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,50 - 250 Mio. EUR,
92,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
93,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR,
94,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
95,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,50 - 250 Mio. EUR,
96,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,50 - 250 Mio. EUR,
97,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,50 - 250 Mio. EUR,
98,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
99,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR,
100,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR,
101,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,50 - 250 Mio. EUR,
102,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR,
103,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,50 - 250 Mio. EUR,
2,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau,
7,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau,
9,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau,
13,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau,
15,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau,
17,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau,
18,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau,
19,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau,
20,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau,
22,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau,
29,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau,
31,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau,
34,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau,
36,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau,
37,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau,
39,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau,
43,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau,
44,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau,
45,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau,
49,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau,
51,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau,
53,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau,
54,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau,
55,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau,
56,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau,
58,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau,
59,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau,
62,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau,
63,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau,
65,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau,
66,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau,
67,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau,
70,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau,
76,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau,
77,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau,
79,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau,
81,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau,
82,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau,
83,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau,
87,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau,
88,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau,
