question_text,item,company_size_class,value,n_valid,n_total,pct_valid
In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,Schwierigkeiten aus Strategien konkrete Maßnahmen abzuleiten,GU,2.7777777777777777,36,45,80.0
In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,Schwierigkeiten aus Strategien konkrete Maßnahmen abzuleiten,KMU,2.619047619047619,21,23,91.30434782608695
In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,Schwierigkeiten zirkuläre Strategien ökologisch abzuwägen,GU,2.8421052631578947,38,45,84.44444444444444
In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,Schwierigkeiten zirkuläre Strategien ökologisch abzuwägen,KMU,2.9523809523809526,21,23,91.30434782608695
In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,Schwierigkeiten zirkuläre Strategien ökonomisch abzuwägen,GU,3.3157894736842106,38,45,84.44444444444444
In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,Schwierigkeiten zirkuläre Strategien ökonomisch abzuwägen,KMU,3.142857142857143,21,23,91.30434782608695
In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,"Transportierbarkeit des Produkts (z.B. Abmaße, Gewicht)",GU,2.210526315789474,38,45,84.44444444444444
In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,"Transportierbarkeit des Produkts (z.B. Abmaße, Gewicht)",KMU,2.2,20,23,86.95652173913044
In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,Unklare Verantwortlichkeiten im Unternehmen,GU,2.888888888888889,36,45,80.0
In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,Unklare Verantwortlichkeiten im Unternehmen,KMU,1.75,20,23,86.95652173913044
In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,Unklare gesetzliche Rahmenbedingungen,GU,3.0277777777777777,36,45,80.0
In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,Unklare gesetzliche Rahmenbedingungen,KMU,2.8947368421052633,19,23,82.6086956521739
In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,"Zulassung, Zertifizierungen oder Sicherheitsrelevanz von Produkten",GU,3.41025641025641,39,45,86.66666666666667
In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,"Zulassung, Zertifizierungen oder Sicherheitsrelevanz von Produkten",KMU,2.9,20,23,86.95652173913044
In welchen Lebenszyklusphasen bzw. Elementen des zirkulären Wertschöpfungsprozesses sehen Sie die größten Hemmnisse für die Umsetzung zirkulärer Wertschöpfungsprozesse?,Aufbereitung &amp; Verwertung,GU,3.1842105263157894,38,45,84.44444444444444
In welchen Lebenszyklusphasen bzw. Elementen des zirkulären Wertschöpfungsprozesses sehen Sie die größten Hemmnisse für die Umsetzung zirkulärer Wertschöpfungsprozesse?,Aufbereitung &amp; Verwertung,KMU,3.0625,16,23,69.56521739130434
In welchen Lebenszyklusphasen bzw. Elementen des zirkulären Wertschöpfungsprozesses sehen Sie die größten Hemmnisse für die Umsetzung zirkulärer Wertschöpfungsprozesse?,Befundung,GU,2.736842105263158,38,45,84.44444444444444
In welchen Lebenszyklusphasen bzw. Elementen des zirkulären Wertschöpfungsprozesses sehen Sie die größten Hemmnisse für die Umsetzung zirkulärer Wertschöpfungsprozesse?,Befundung,KMU,2.823529411764706,17,23,73.91304347826086
In welchen Lebenszyklusphasen bzw. Elementen des zirkulären Wertschöpfungsprozesses sehen Sie die größten Hemmnisse für die Umsetzung zirkulärer Wertschöpfungsprozesse?,Definition geeigneter Kennzahlen,GU,2.4411764705882355,34,45,75.55555555555556
In welchen Lebenszyklusphasen bzw. Elementen des zirkulären Wertschöpfungsprozesses sehen Sie die größten Hemmnisse für die Umsetzung zirkulärer Wertschöpfungsprozesse?,Definition geeigneter Kennzahlen,KMU,2.4,15,23,65.21739130434783
In welchen Lebenszyklusphasen bzw. Elementen des zirkulären Wertschöpfungsprozesses sehen Sie die größten Hemmnisse für die Umsetzung zirkulärer Wertschöpfungsprozesse?,Demontage,GU,2.810810810810811,37,45,82.22222222222221
In welchen Lebenszyklusphasen bzw. Elementen des zirkulären Wertschöpfungsprozesses sehen Sie die größten Hemmnisse für die Umsetzung zirkulärer Wertschöpfungsprozesse?,Demontage,KMU,2.823529411764706,17,23,73.91304347826086
In welchen Lebenszyklusphasen bzw. Elementen des zirkulären Wertschöpfungsprozesses sehen Sie die größten Hemmnisse für die Umsetzung zirkulärer Wertschöpfungsprozesse?,Endprüfung,GU,2.263157894736842,38,45,84.44444444444444
In welchen Lebenszyklusphasen bzw. Elementen des zirkulären Wertschöpfungsprozesses sehen Sie die größten Hemmnisse für die Umsetzung zirkulärer Wertschöpfungsprozesse?,Endprüfung,KMU,2.388888888888889,18,23,78.26086956521739
In welchen Lebenszyklusphasen bzw. Elementen des zirkulären Wertschöpfungsprozesses sehen Sie die größten Hemmnisse für die Umsetzung zirkulärer Wertschöpfungsprozesse?,Geschäftsmodelle,GU,3.27027027027027,37,45,82.22222222222221
In welchen Lebenszyklusphasen bzw. Elementen des zirkulären Wertschöpfungsprozesses sehen Sie die größten Hemmnisse für die Umsetzung zirkulärer Wertschöpfungsprozesse?,Geschäftsmodelle,KMU,3.125,16,23,69.56521739130434
In welchen Lebenszyklusphasen bzw. Elementen des zirkulären Wertschöpfungsprozesses sehen Sie die größten Hemmnisse für die Umsetzung zirkulärer Wertschöpfungsprozesse?,Produktdesign für R - Strategien,GU,3.1714285714285713,35,45,77.77777777777779
In welchen Lebenszyklusphasen bzw. Elementen des zirkulären Wertschöpfungsprozesses sehen Sie die größten Hemmnisse für die Umsetzung zirkulärer Wertschöpfungsprozesse?,Produktdesign für R - Strategien,KMU,2.7333333333333334,15,23,65.21739130434783
In welchen Lebenszyklusphasen bzw. Elementen des zirkulären Wertschöpfungsprozesses sehen Sie die größten Hemmnisse für die Umsetzung zirkulärer Wertschöpfungsprozesse?,Remontage,GU,2.5142857142857142,35,45,77.77777777777779
In welchen Lebenszyklusphasen bzw. Elementen des zirkulären Wertschöpfungsprozesses sehen Sie die größten Hemmnisse für die Umsetzung zirkulärer Wertschöpfungsprozesse?,Remontage,KMU,2.6875,16,23,69.56521739130434
In welchen Lebenszyklusphasen bzw. Elementen des zirkulären Wertschöpfungsprozesses sehen Sie die größten Hemmnisse für die Umsetzung zirkulärer Wertschöpfungsprozesse?,Rückwärtslogistik,GU,3.138888888888889,36,45,80.0
In welchen Lebenszyklusphasen bzw. Elementen des zirkulären Wertschöpfungsprozesses sehen Sie die größten Hemmnisse für die Umsetzung zirkulärer Wertschöpfungsprozesse?,Rückwärtslogistik,KMU,3.125,16,23,69.56521739130434
"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Automatisierungstechnik(z.B. Robotik, Steuerungstechnik, Handhabungstechnik, Regelungstechnik, ...)",GU,3.4411764705882355,34,45,75.55555555555556
"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Automatisierungstechnik(z.B. Robotik, Steuerungstechnik, Handhabungstechnik, Regelungstechnik, ...)",KMU,3.0625,16,23,69.56521739130434
"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Außerbetriebliche Logistik(z.B. Verkehrsmittel, Tourenplanung, ...)",GU,2.967741935483871,31,45,68.88888888888889
"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Außerbetriebliche Logistik(z.B. Verkehrsmittel, Tourenplanung, ...)",KMU,2.0952380952380953,21,23,91.30434782608695
"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Instandhaltung(z.B. Ausfallzeiten von Maschinen, ...)",GU,3.4146341463414633,41,45,91.11111111111111
"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Instandhaltung(z.B. Ausfallzeiten von Maschinen, ...)",KMU,3.1904761904761907,21,23,91.30434782608695
"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Intralogistik(z.B. Ort und Status von Ladungsträgern, Transportmitteln, ...)",GU,3.4,40,45,88.88888888888889
"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Intralogistik(z.B. Ort und Status von Ladungsträgern, Transportmitteln, ...)",KMU,2.65,20,23,86.95652173913044
"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.",Kennzahlen für das Shopfloor Management,GU,3.588235294117647,34,45,75.55555555555556
"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.",Kennzahlen für das Shopfloor Management,KMU,3.388888888888889,18,23,78.26086956521739
"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Produkte und Dienstleistungen(z.B. Nutzungsdaten, ...)",GU,3.810810810810811,37,45,82.22222222222221
"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Produkte und Dienstleistungen(z.B. Nutzungsdaten, ...)",KMU,3.0,21,23,91.30434782608695
"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Produktentwicklung(z.B. Konstruktion, Engineering, ...)",GU,3.28125,32,45,71.11111111111111
"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Produktentwicklung(z.B. Konstruktion, Engineering, ...)",KMU,3.0555555555555554,18,23,78.26086956521739
"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Produktionsplanung und - steuerung(z.B. Machinenbelegung, Umgang mit Störungen, ...)",GU,3.625,40,45,88.88888888888889
"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Produktionsplanung und - steuerung(z.B. Machinenbelegung, Umgang mit Störungen, ...)",KMU,3.1818181818181817,22,23,95.65217391304348
"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Produktionsprozess(z.B. Ressourcen - und Energieverbräuche, ...)",GU,3.9047619047619047,42,45,93.33333333333333
"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Produktionsprozess(z.B. Ressourcen - und Energieverbräuche, ...)",KMU,3.75,20,23,86.95652173913044
"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.",Qualitätsmanagement und Qualitätskontrolle,GU,3.682926829268293,41,45,91.11111111111111
"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.",Qualitätsmanagement und Qualitätskontrolle,KMU,3.4347826086956523,23,23,100.0
"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Ressourcenplanung(z.B. Transportplanung, Nachfrageprognose, Auftragsplanung, Riskomanagement)",GU,3.473684210526316,38,45,84.44444444444444
"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Ressourcenplanung(z.B. Transportplanung, Nachfrageprognose, Auftragsplanung, Riskomanagement)",KMU,3.1363636363636362,22,23,95.65217391304348
