respondent_id,question_text,item,answer
30,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
31,Welcher Art von Organisation gehören Sie an?,,Forschungsinstitution
32,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
33,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
34,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
35,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
36,Welcher Art von Organisation gehören Sie an?,,Sonstiges: Sondermaschinenbau + Service
37,Welcher Art von Organisation gehören Sie an?,,Branchenverband
38,Welcher Art von Organisation gehören Sie an?,,Sonstiges: Sensortechnik-Unternehmen
39,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
40,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
41,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
42,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
43,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
44,Welcher Art von Organisation gehören Sie an?,,Forschungsinstitution
45,Welcher Art von Organisation gehören Sie an?,,Unternehmensberatung
46,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
47,Welcher Art von Organisation gehören Sie an?,,IT-/Entwicklungsdienstleister
48,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
49,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
50,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
51,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
52,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
53,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
54,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
55,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
56,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
57,Welcher Art von Organisation gehören Sie an?,,Forschungsinstitution
58,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
59,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
60,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
61,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
62,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
63,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
64,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
65,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
66,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
67,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
68,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
1,Wie viele Beschäftigte hat Ihr Unternehmen?,,10 - 49
2,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
3,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
4,Wie viele Beschäftigte hat Ihr Unternehmen?,,10 - 49
5,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
6,Wie viele Beschäftigte hat Ihr Unternehmen?,,10 - 49
7,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
8,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
9,Wie viele Beschäftigte hat Ihr Unternehmen?,,50 - 250
10,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
11,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
12,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
13,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
14,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
15,Wie viele Beschäftigte hat Ihr Unternehmen?,,50 - 250
16,Wie viele Beschäftigte hat Ihr Unternehmen?,,50 - 250
17,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
18,Wie viele Beschäftigte hat Ihr Unternehmen?,,50 - 250
19,Wie viele Beschäftigte hat Ihr Unternehmen?,,50 - 250
20,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
21,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
22,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
23,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
24,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
25,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
26,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
27,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
28,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
29,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
30,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
31,Wie viele Beschäftigte hat Ihr Unternehmen?,,50 - 250
32,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
33,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
34,Wie viele Beschäftigte hat Ihr Unternehmen?,,50 - 250
35,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
36,Wie viele Beschäftigte hat Ihr Unternehmen?,,50 - 250
37,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
38,Wie viele Beschäftigte hat Ihr Unternehmen?,,< 10
39,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
40,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
41,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
42,Wie viele Beschäftigte hat Ihr Unternehmen?,,50 - 250
43,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
44,Wie viele Beschäftigte hat Ihr Unternehmen?,,50 - 250
45,Wie viele Beschäftigte hat Ihr Unternehmen?,,< 10
46,Wie viele Beschäftigte hat Ihr Unternehmen?,,50 - 250
47,Wie viele Beschäftigte hat Ihr Unternehmen?,,< 10
48,Wie viele Beschäftigte hat Ihr Unternehmen?,,10 - 49
49,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
50,Wie viele Beschäftigte hat Ihr Unternehmen?,,50 - 250
51,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
52,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
53,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
54,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
55,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
56,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
57,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
58,Wie viele Beschäftigte hat Ihr Unternehmen?,,10 - 49
59,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
60,Wie viele Beschäftigte hat Ihr Unternehmen?,,10 - 49
61,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
62,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
63,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
64,Wie viele Beschäftigte hat Ihr Unternehmen?,,50 - 250
65,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
66,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
67,Wie viele Beschäftigte hat Ihr Unternehmen?,,> 250
68,Wie viele Beschäftigte hat Ihr Unternehmen?,,50 - 250
1,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR
2,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,50 – 250 Mio. EUR
3,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR
4,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,< 5 Mio. EUR
5,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR
6,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,< 5 Mio. EUR
7,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR
8,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,50 – 250 Mio. EUR
9,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR
10,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR
11,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR
12,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,50 – 250 Mio. EUR
13,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR
14,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR
15,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR
16,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR
17,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR
18,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,50 – 250 Mio. EUR
19,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR
20,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR
21,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR
22,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR
23,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR
24,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR
25,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR
26,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR
27,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR
28,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR
29,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR
30,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,50 – 250 Mio. EUR
31,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR
32,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR
33,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR
34,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR
35,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR
36,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR
37,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR
38,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,< 5 Mio. EUR
39,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR
40,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR
41,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR
42,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,50 – 250 Mio. EUR
43,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR
44,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR
45,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,< 5 Mio. EUR
46,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR
47,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,< 5 Mio. EUR
48,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,< 5 Mio. EUR
49,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,50 – 250 Mio. EUR
50,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR
51,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR
52,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,50 – 250 Mio. EUR
53,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,50 – 250 Mio. EUR
54,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR
55,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR
56,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR
57,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR
58,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,< 5 Mio. EUR
59,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR
60,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR
61,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR
62,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,50 – 250 Mio. EUR
63,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR
64,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,5 - 50 Mio. EUR
65,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR
66,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR
67,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,> 250 Mio. EUR
68,Wie hoch ist der jährliche Umsatz Ihres Unternehmens?,,50 – 250 Mio. EUR
2,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau
7,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau
9,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau
13,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau
15,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau
17,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau
18,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau
19,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau
20,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau
22,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau
29,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau
31,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau
34,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau
36,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau
37,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau
39,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau
43,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau
44,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau
45,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau
49,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau
51,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau
53,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau
54,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau
55,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau
56,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau
58,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau
59,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau
62,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau
63,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau
65,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau
66,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau
67,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Maschinenbau
39,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Reparatur und Installation von Maschinen und Ausrüstungen
43,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Reparatur und Installation von Maschinen und Ausrüstungen
45,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Reparatur und Installation von Maschinen und Ausrüstungen
51,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Reparatur und Installation von Maschinen und Ausrüstungen
11,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Luft- und Raumfahrttechnik
19,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Luft- und Raumfahrttechnik
22,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Luft- und Raumfahrttechnik
35,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Luft- und Raumfahrttechnik
40,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Luft- und Raumfahrttechnik
43,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Luft- und Raumfahrttechnik
44,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Luft- und Raumfahrttechnik
61,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Luft- und Raumfahrttechnik
5,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Fahrzeugbau
9,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Fahrzeugbau
11,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Fahrzeugbau
16,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Fahrzeugbau
22,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Fahrzeugbau
39,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Fahrzeugbau
40,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Fahrzeugbau
41,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Fahrzeugbau
43,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Fahrzeugbau
44,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Fahrzeugbau
45,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Fahrzeugbau
67,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Fahrzeugbau
1,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Elektrische Geräte und Komponenten
8,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Elektrische Geräte und Komponenten
9,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Elektrische Geräte und Komponenten
13,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Elektrische Geräte und Komponenten
22,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Elektrische Geräte und Komponenten
29,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Elektrische Geräte und Komponenten
32,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Elektrische Geräte und Komponenten
33,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Elektrische Geräte und Komponenten
34,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Elektrische Geräte und Komponenten
42,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Elektrische Geräte und Komponenten
43,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Elektrische Geräte und Komponenten
46,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Elektrische Geräte und Komponenten
51,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Elektrische Geräte und Komponenten
52,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Elektrische Geräte und Komponenten
54,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Elektrische Geräte und Komponenten
59,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Elektrische Geräte und Komponenten
4,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Metallerzeugung und -bearbeitung
6,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Metallerzeugung und -bearbeitung
11,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Metallerzeugung und -bearbeitung
12,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Metallerzeugung und -bearbeitung
18,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Metallerzeugung und -bearbeitung
19,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Metallerzeugung und -bearbeitung
30,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Metallerzeugung und -bearbeitung
44,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Metallerzeugung und -bearbeitung
45,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Metallerzeugung und -bearbeitung
48,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Metallerzeugung und -bearbeitung
54,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Metallerzeugung und -bearbeitung
64,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Metallerzeugung und -bearbeitung
68,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Metallerzeugung und -bearbeitung
3,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Chemische Erzeugnisse
10,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Chemische Erzeugnisse
23,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Chemische Erzeugnisse
25,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Chemische Erzeugnisse
26,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Chemische Erzeugnisse
27,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Chemische Erzeugnisse
44,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Chemische Erzeugnisse
3,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Pharmazeutische Erzeugnisse
23,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Pharmazeutische Erzeugnisse
25,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Pharmazeutische Erzeugnisse
27,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Pharmazeutische Erzeugnisse
44,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Pharmazeutische Erzeugnisse
44,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Nahrungs- und Futtermittel
44,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Getränkeherstellung oder -abfüllung
47,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,"Textilien, Leder, Lederwaren oder Schuhe"
45,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Herstellung von Möbeln
57,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Herstellung von Möbeln
12,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Gummi- und Kunststoffwarenverarbeitung
44,In welcher Branche ordnen Sie Ihre Tätigkeit ein?,,Glas- oder Keramikindustrie
1,Welche Position haben Sie im Unternehmen?,,Geschäftsführung
2,Welche Position haben Sie im Unternehmen?,,Team-/Abteilungs-/Bereichsleitung mit disziplinarischer Verantwortung
3,Welche Position haben Sie im Unternehmen?,,Projektleitung
4,Welche Position haben Sie im Unternehmen?,,Geschäftsführung
5,Welche Position haben Sie im Unternehmen?,,Mitarbeitender
6,Welche Position haben Sie im Unternehmen?,,Geschäftsführung
7,Welche Position haben Sie im Unternehmen?,,Projektleitung
8,Welche Position haben Sie im Unternehmen?,,Projektleitung
9,Welche Position haben Sie im Unternehmen?,,Geschäftsführung
10,Welche Position haben Sie im Unternehmen?,,Team-/Abteilungs-/Bereichsleitung mit disziplinarischer Verantwortung
11,Welche Position haben Sie im Unternehmen?,,Team-/Abteilungs-/Bereichsleitung mit disziplinarischer Verantwortung
12,Welche Position haben Sie im Unternehmen?,,Geschäftsführung
13,Welche Position haben Sie im Unternehmen?,,Team-/Abteilungs-/Bereichsleitung mit disziplinarischer Verantwortung
14,Welche Position haben Sie im Unternehmen?,,Mitarbeitender
15,Welche Position haben Sie im Unternehmen?,,Team-/Abteilungs-/Bereichsleitung mit disziplinarischer Verantwortung
16,Welche Position haben Sie im Unternehmen?,,Sonstiges: Nachhaltigkeits-Team
17,Welche Position haben Sie im Unternehmen?,,Team-/Abteilungs-/Bereichsleitung mit disziplinarischer Verantwortung
18,Welche Position haben Sie im Unternehmen?,,Projektleitung
19,Welche Position haben Sie im Unternehmen?,,Projektleitung
20,Welche Position haben Sie im Unternehmen?,,Geschäftsführung
21,Welche Position haben Sie im Unternehmen?,,Geschäftsführung
22,Welche Position haben Sie im Unternehmen?,,Projektleitung
23,Welche Position haben Sie im Unternehmen?,,Mitarbeitender
24,Welche Position haben Sie im Unternehmen?,,Team-/Abteilungs-/Bereichsleitung mit disziplinarischer Verantwortung
25,Welche Position haben Sie im Unternehmen?,,Team-/Abteilungs-/Bereichsleitung mit disziplinarischer Verantwortung
26,Welche Position haben Sie im Unternehmen?,,Projektleitung
27,Welche Position haben Sie im Unternehmen?,,Projektleitung
28,Welche Position haben Sie im Unternehmen?,,Projektleitung
29,Welche Position haben Sie im Unternehmen?,,Projektleitung
30,Welche Position haben Sie im Unternehmen?,,Mitarbeitender
31,Welche Position haben Sie im Unternehmen?,,Mitarbeitender
32,Welche Position haben Sie im Unternehmen?,,Team-/Abteilungs-/Bereichsleitung mit disziplinarischer Verantwortung
33,Welche Position haben Sie im Unternehmen?,,Mitarbeitender
34,Welche Position haben Sie im Unternehmen?,,Geschäftsführung
35,Welche Position haben Sie im Unternehmen?,,Team-/Abteilungs-/Bereichsleitung mit disziplinarischer Verantwortung
36,Welche Position haben Sie im Unternehmen?,,Projektleitung
